Text,Cat
"Hi! I'm Martine Redman and I created this puzzle for Briarpatch using a great photo from Jean Marzollo and Walter Wick's terrific book, I Spy School Days. Kids need lots of practice to master the ABC's, and this puzzle provides an enjoyable reinforcing tool. Its visual richness helps non-readers and readers alike to remember word associations, and the wealth of cleverly chosen objects surrounding each letter promote language development. The riddle included multiplies the fun of assembling this colorful puzzle. For another great Briarpatch puzzle, check out I Spy Blocks. END",puzzles
"120 colors? I say 120 sticks of fun! And a free sharpener, with a shavings holder even!! This rainy day toy is so much fun, you'll even find yourself using it on sunny days!!!",arts crafts
"What a wonderful creation. Art, in our house, comes in many colors Thanks to Crayola! We unfortunately never seem to have enough crayons, though!",arts crafts
"Meowth is the coolest, lots of play value. Great to to use kids imagination!",action toy figures
"You can give a MagnaDoodle to any kid who's able to grasp the stylus; just babyproof it by cutting off the string that attaches the stylus to the board, and taking away the smaller accessories until the kid is old enough not to choke. Kid can then scribble to his or her heart's content without making any mess ever, and practicing a lot is how they get ready for pencils and crayons and paint etc. It's also perfect for teaching letters and numbers and shapes since you draw them each time, which is more interesting to little kids than other teaching toys. Our MagnaDoodles have tended to die of being stepped on, which warps the board and makes the erase lever difficult to slide, so keep it off the floor if you want to make it last.",arts crafts
"Mitchum Clear Gel Anti-Perspirant is an effective deodorant. The """"perk"""" to this product is that it does not stain or mark up your clothes, as do many deodorants and anti-perspirants. I noticed marked improvement in effectiveness. My underarms remained absolutely dry -- not an experience I've had with similar products. I would definitely recommend this because of its price and effectiveness/efficiency.",personal care
"I loved the flavor of the bars!!! I really didn't expect them to be as good as they are!!! I have had other nutritional bars that tasted really nasty. I'd buy the Balance Bars again, and plan on doing so. Even my children liked them! The bars gave me energy when I ate them in the late afternoon. They were a real pick-me-up! I'd recommend this product to a friend in a heartbeat. It's nice to know you can buy a nutritional bar that tastes good and seems more like a snack!",nutrition wellness
My 5 year old daughter loved following the life cycle of the butterflies. I am sure she will always remember the summer we had a butterfly house.We received 5 caterpillars at exactly the time requested and all 5 caterpillars survived and became butterflies!It was wonderful to see the pride in my daughter's face when her &quot;babies&quot; were born.What a great &quot;toy&quot;!,learning education
On my way to a great vacation in the Pocono's with my son and his family. Niita took out the toy and started playing with. I was amazed at what it can do. So I just mailed her about Extreme Bop It,electronics for kids
"These things are absolutely marvelous! Seriously folks, these little miracles are by far the best way I've found so far to power portable gadgets, and what's even better is that all of the gadgets are designed specifically for use with these &quot;batteries&quot;. That's right! No modification necessary! Simply an ingenious product, go out and buy a pack of these things today and see what all the fuss is about! Andy",household supplies
